timestamp,open,high,low,close,volume
2022-09-26,165.47,168.97,163.58,164.17,30597799
2022-09-27,166.31,167.63,163.28,164.73,42406580
2022-09-28,165.76,170.99,165.07,169.94,35186541
2022-09-29,167.78,167.93,163.8,166.13,31464022
2022-09-30,165.78,169.515,164.87,164.92,40643777
2022-10-03,167.34,170.3,165.25,169.29,33611555
2022-10-04,172.61,176.08,172.53,176,37537299
2022-10-05,173.41,175.33,171.42,174.7,25281358
2022-10-06,173.85,176.165,172.91,173.72,22635934
2022-10-07,171.93,172.47,167.92,168.61,26536118
2022-10-10,169.29,169.57,166.59,167.67,23386430
2022-10-11,166.96,170.11,164.8,167.72,28009126
2022-10-12,167.9,168.46,165.48,167.26,26796655
2022-10-13,164,172.2,162.5,171.4,45376514
2022-10-14,172.74,173.92,166.71,166.81,29608626
2022-10-17,170.22,172.62,170.11,172.13,28199212
2022-10-18,175.86,177.29,172.69,174.17,34523149
2022-10-19,172.49,173.4,169.3301,171.21,27146943
2022-10-20,171.42,173.55,168.4693,169.03,26710706
2022-10-21,169.4,173.2,168.19,172.7,45402703
2022-10-24,173.32,174,171.05,173.45,27284472
2022-10-25,173.57,178.895,173.56,178.17,33105746
2022-10-26,179.15,182.37,178.33,179.05,37084746
2022-10-27,180.59,182,178.87,179.09,28651848
2022-10-28,179.825,183.41,178.7383,183.16,33221621
2022-10-31,182.27,184.24,181.55,183.33,25699385
2022-11-01,185.24,185.6,182.88,183.58,27446653
2022-11-02,182.84,185,177.43,177.49,38139591
2022-11-03,175.29,177.94,174.11,176.3,29093224
2022-11-04,178.92,179.94,175.47,178.68,25842371
2022-11-07,179.74,180.59,177.68,179.49,20689937
2022-11-08,180.23,181.95,177.36,179.56,20265188
2022-11-09,178,178.67,174.275,174.63,27276977
2022-11-10,181.85,185.445,181.15,185.38,38572799
2022-11-11,185.76,188.84,185.69,186.9,28765362
2022-11-14,185.79,187.785,184.6317,184.81,26499630
2022-11-15,187.84,189.56,186.11,187.55,26128760
2022-11-16,186.6,186.64,183.71,184.25,24802010
2022-11-17,181.62,182.95,180.51,182.54,20835670
2022-11-18,184.59,185.31,182.57,183.72,27269071
2022-11-21,182.78,183.19,181.43,182.76,19038942
2022-11-22,183.74,184.94,182.33,184.71,16869715
2022-11-23,184.29,185.78,183.55,185.19,19758783
2022-11-25,185.09,186.37,184.66,185.58,13393405
2022-11-28,184.13,184.92,181.29,181.84,17490373
2022-11-29,181.96,183.61,181.96,182.37,14020553
2022-11-30,182.67,187.43,180.795,187.37,28030141
2022-12-01,188.151,189.24,186.13,186.96,21996369
2022-12-02,184.37,188.86,184.33,188.05,22574779
2022-12-05,186.86,187.06,182.1838,182.87,25449292
2022-12-06,182.88,182.98,179.08,180.07,18502134
2022-12-07,179.75,181.5,179.11,179.54,17177784
2022-12-08,180.77,182.625,179.51,180.84,20971437
2022-12-09,179.77,180.81,178.56,178.62,22046494
2022-12-12,178.85,181.09,178,180.72,22765420
2022-12-13,185.73,186.64,180.14,181.38,38445310
2022-12-14,181.31,182.91,178.83,180.19,32406860
2022-12-15,178.03,178.6,175.04,175.68,33546710
2022-12-16,173.8,175.11,172.67,174.37,38502417
2022-12-19,174.61,175.0529,171.47,172.01,25614032
2022-12-20,171.67,174.02,171.18,172.92,18050794
2022-12-21,174.45,176.8,174.2,175.9,22997201
2022-12-22,174.33,174.49,170.67,173.6,21297569
2022-12-23,173.48,174.45,172.34,174.39,11647741
2022-12-27,174.36,174.57,172.58,173.22,13553781
2022-12-28,173.18,174.1,170.34,170.53,19648022
2022-12-29,171.72,175.25,171.4,174.85,22311308
2022-12-30,173.34,174.7203,172.61,174.36,21275583
2023-01-03,175.93,177.32,171.9,173.4,22503836
2023-01-04,174.62,176.67,174.28,175.56,22973497
2023-01-05,174.59,174.76,172.39,173.68,17032620
2023-01-06,175.3,178.04,173.87,177.58,21986906
2023-01-09,179.01,180.12,177.65,177.88,18366452
2023-01-10,177.66,180.62,177.3,180.51,18751117
2023-01-11,181.26,182.79,180.68,182.76,18222696
2023-01-12,183.57,185.95,181.92,185.83,29650762
2023-01-13,184.5,187.34,184.33,187.05,22119985
2023-01-17,187,187.84,186.235,186.82,22422562
2023-01-18,187.45,188.96,183.695,183.8,23507760
2023-01-19,182.73,183.1,180.78,182.04,24624454
2023-01-20,182.71,185.15,181.27,185.04,36070250
2023-01-23,185.43,188.115,184.58,187.33,20329901
2023-01-24,186.59,187.83,185.88,186.93,19263452
2023-01-25,185.41,187.51,183.87,187.45,18174577
2023-01-26,188.98,189.85,186.29,188.56,18369120
2023-01-27,187.98,190.3,187.79,189.58,20019850
2023-01-30,187.84,189.61,186.83,186.94,18395072
2023-01-31,187.42,191.58,187.38,191.48,21567866
2023-02-01,191.19,196.19,190.13,194.49,27007326
2023-02-02,196.01,199.26,194.35,198.32,31020427
2023-02-03,196.11,199.13,195.7,196.99,24981474
2023-02-06,195.65,196.38,193.37,194.14,18160086
2023-02-07,193.41,196.1,191.65,195.58,27074054
2023-02-08,194.36,195.37,192.2,192.72,17933496
2023-02-09,194.23,195.12,189.43,189.93,20516649
2023-02-10,189.28,190.63,188.5328,190.31,15248731
2023-02-13,190.51,192.855,189.31,192.6,15754366
2023-02-14,191.28,193.95,190.08,192.51,21889612
2023-02-15,190.98,194.5537,190.53,194.46,18782880
2023-02-16,191.8,194.87,191.25,192.6,21366255
2023-02-17,191.88,193.3699,190.97,193.13,23892199
2023-02-21,190.75,191.3383,187.24,187.48,26004028
2023-02-22,187.83,189.15,186.7515,187.94,24651715
2023-02-23,189.35,190.3,186.7,189.28,21311725
2023-02-24,186.65,187.78,185.78,187.51,24280697
2023-02-27,189.13,190.2,187.6,188.17,17562854
2023-02-28,188.12,190.02,188.07,188.18,19542637
2023-03-01,188.19,189.49,187.19,188.42,22532791
2023-03-02,186.86,189.3,186.12,188.87,18134836
2023-03-03,189.67,191.93,188.42,191.5,22774335
2023-03-06,191.56,191.74,187.9,188.7,23266746
2023-03-07,188.65,189.07,186.22,186.51,25865711
2023-03-08,186.79,187.61,185.12,186.6,22505855
2023-03-09,186.73,187.27,181.28,181.41,33546890
2023-03-10,180.39,180.39,174.255,176.18,69274206
2023-03-13,172.52,176.4,171.07,173.31,74171456
2023-03-14,178.6,179.26,174.61,176.52,48946152
2023-03-15,171.93,173.91,170.3762,173.61,54405755
2023-03-16,171.47,177.38,170.495,175.98,52888335
2023-03-17,174.04,174.76,170.86,171.23,70239907
2023-03-20,173.05,175.37,172.525,173.45,46103182
2023-03-21,176.55,178.18,175.96,176.65,34465882
2023-03-22,176.52,177.35,171.53,171.64,56098235
2023-03-23,172.28,174.39,168.71,170.25,47720850
2023-03-24,168.75,172.105,167.455,171.78,47538469
2023-03-27,173.84,174.73,172.36,173.8,33880623
2023-03-28,173.1,174.505,172.69,173.45,28555089
2023-03-29,175.34,175.55,173.5719,175.42,25564793
2023-03-30,176.88,177.305,174.445,175.18,26728564
2023-03-31,176.4,178.64,176.37,178.4,39602850
2023-04-03,178.95,179.78,176.49,178.48,27608982
2023-04-04,178.92,179.1,174.32,175.35,33487181
2023-04-05,174.25,174.83,172.53,173.63,28243090
2023-04-06,173.72,174.46,172.68,173.89,26366279
2023-04-10,173.07,175.88,173.03,175.75,22237792
2023-04-11,176.57,177.97,176.12,177.14,21876241
2023-04-12,178.82,178.98,175.58,175.84,27018113
2023-04-13,176.54,178.685,175.93,178.17,23259875
2023-04-14,178.33,179.22,175.34,176.51,29600374
2023-04-17,176.97,178.86,176.75,178.78,22177347
2023-04-18,179.59,179.63,176.94,178.02,22692960
2023-04-19,177.08,178.79,176.58,178.25,19306758
2023-04-20,177.15,178.43,176.52,177.33,20336276
2023-04-21,177.81,177.958,175.86,177.56,25972820
2023-04-24,177.38,178.45,176.495,177.44,17781006
2023-04-25,175.63,175.94,173.01,173.06,28857915
2023-04-26,172.23,173.4,171,171.39,30309779
2023-04-27,172.03,173.855,170.94,173.68,33424124
2023-04-28,173.29,175.825,173.18,175.2,31911856
2023-05-01,175,177.34,174.76,175.3,27420136
2023-05-02,174.4,174.45,169.92,171.7,40851051
2023-05-03,172.22,175.7,172.19,172.33,43261392
2023-05-04,171.32,171.56,168.78,170.4,42382097
2023-05-05,173.29,175.1,173.1,174.45,35456844
2023-05-08,175.26,175.55,173.13,174.05,22109887
2023-05-09,172.98,174.27,172.16,173.53,21465513
2023-05-10,175.96,176.02,172.72,174.41,27281899
2023-05-11,173.22,173.78,172.11,173.07,25884562
2023-05-12,173.65,174.205,171.65,172.72,20406402
2023-05-15,173.31,175.71,172.82,174.83,24310016
